Name,Profile_Link,Research_Interests,Dept,Tags
Abhranil Chatterjee,https://cabhranil.bitbucket.io/,Complexity Theory and Designing algorithms with algebraic techniques,CSE,"Machine Learning, Algorithms"
Adithya Vadapalli,https://avadapal.github.io/,"Applied Cryptography, Private Information Retrieval, Secure Multiparty Computation, Zero-Knowledge Proofs and Oblivious RAMs",CSE,Cryptography
Amey Karkare,https://www.cse.iitk.ac.in/users/karkare/,"Compilers, Program Analysis & Code Optimization, Functional Programming, Programming Languages and Education",CSE,"Algorithms, Software Engineering"
Amitangshu Pal,https://www.cse.iitk.ac.in/users/amitangshu/,"Wireless and Sensor Networks, Sensing and Communication for Internet of Things (IoTs) and Building IoT Solutions for Smart Cities",CSE,Networks
Angshuman Karmakar,https://www.cse.iitk.ac.in/users/angshuman/,"Post Quantum Cryptography, Side-Channel attacks and Computation on encrypted data and Cryptology",CSE,Cryptography
Anil Seth,https://www.cse.iitk.ac.in/users/seth/,"Logic, Theoretical Computer Science",CSE,Theoretical CS
Arnab Bhattacharya,https://www.cse.iitk.ac.in/users/arnabb/,"Databases, Data Mining, Information Retrieval, Natural Language Processing and Artificial Intelligence",CSE,"Data Science, Machine Learning, Natural Language Processing"
Ashutosh Modi,https://www.cse.iitk.ac.in/users/ashutoshm/,"Natural Language Processing, Machine Learning and Affective Computing",CSE,"Machine Learning, Natural Language Processing"
Debadatta Mishra,https://www.cse.iitk.ac.in/users/deba/,"Operating Systems, Virtualization and Cloud Computing and Computer Networks",CSE,Cloud Computing
Debapriya Basu Roy,https://www.cse.iitk.ac.in/users/dbroy/,"Hardware Security, VLSI for Cryptography and Post Quantum Cryptography",CSE,Cryptography
Gunjan Kumar,https://sites.google.com/view/gunjankumar,"Sublinear Algorithms, Approximation Algorithms, Statistical Learning Theory and Information Theory",CSE,Algorithms
Hamim Zafar,https://sites.google.com/view/cosmiclab-iitk/home,"Computational Biology, Machine Learning and Bioinformatics",CSE,"Machine Learning, Bioinformatics"
Indranil Saha,https://www.cse.iitk.ac.in/users/isaha/,Application of formal methods to embedded and cyberphysical systems and Robotics,CSE,"Robotics, Theoretical CS"
Mainak Chaudhuri,https://www.cse.iitk.ac.in/users/mainakc/,Computer Hardware and Architecture,CSE,Other Research Areas
Manindra Agrawal,https://www.cse.iitk.ac.in/users/manindra/,"Computational Complexity Theory, Security, Theoretical Computer Science and Algorithms",CSE,"Theoretical CS, Cryptography, Algorithms"
Nisheeth Srivastava,https://www.cse.iitk.ac.in/users/nsrivast/,"Human Factors in Computing, Computational Cognitive Science and Computational Social Science",CSE,Other Research Areas
Nitin Saxena,https://www.cse.iitk.ac.in/users/nitin/,"Computational Complexity Theory, Algebra, Algebraic Geometry, Theoretical Computer Science and Algorithms",CSE,"Machine Learning, Algorithms, Theoretical CS"
Piyush Rai,https://www.cse.iitk.ac.in/users/piyush/,Machine Learning and Bayesian Statistics,CSE,"Data Science, Machine Learning"
Preeti Malakar,https://www.cse.iitk.ac.in/users/pmalakar/,"High Performance Computing, Scalable Parallel Communication and Workflow Optimization",CSE,Algorithms
Priyanka Bagade,https://www.cse.iitk.ac.in/users/pbagade/,"Internet of things, Sensors, Mobile Computing and Deep Learning",CSE,Machine Learning
